code,francais,latin,strate
PRV,Cerisier de Virginie,Prunus virginiana,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
PTA,Ptéridium des aigles,Pteridium aquilinum var. latiusculum,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
PTC,Hypne cimier,Ptilium crista-castrensis,MOUSSES (STRATE 11)
PTI,Ptilidie ciliée,Ptilidium ciliare,MOUSSES (STRATE 11)
PYA,Pyrole à feuilles d'asaret,Pyrola asarifolia,LATIFOLIÉS (STRATE 21)
PYE,Pyrole elliptique,Pyrola elliptica,LATIFOLIÉS (STRATE 21)
PYR,Pyrole unilatérale,Pyrola secunda,LATIFOLIÉS (STRATE 21)
PYS,Pyroles,Pyrola sp.,LATIFOLIÉS (STRATE 21)
RAA,Renoncule âcre,Ranunculus acris,LATIFOLIÉS (STRATE 21)
RAB,Renoncule abortive,Ranunculus abortivus,LATIFOLIÉS (STRATE 21)
RAS,Renoncules,Ranunculus sp.,LATIFOLIÉS (STRATE 21)
RHA,Nerprun à feuilles d'aulne,Rhamnus alnifolia,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RHC,Rhododendron du Canada,Rhododendron canadense,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RHM,Nerprun cathartique,Rhamnus cathartica,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RHR,Sumac grimpant,Rhus radicans,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RHT,Sumac vinaigrier,Rhus typhina,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RIA,Gadellier américain,Ribes americanum,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RIC,Groseillier des chiens,Ribes cynosbati,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RIG,Gadellier glanduleux,Ribes glandulosum,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RIH,Groseillier hérissé,Ribes hirtellum,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RIL,Gadellier lacustre,Ribes lacustre,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RIT,Gadellier amer,Ribes triste,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
ROA,Rosier aciculaire,Rosa acicularis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RUA,Ronce alléghanienne,Rubus allegheniensis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RUC,Ronce petit-mûrier,Rubus chamaemorus,LATIFOLIÉS (STRATE 21)
RUD,Ronce odorante,Rubus odoratus,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RUI,Ronce du mont Ida,Rubus idaeus,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RUO,Ronce occidentale,Rubus occidentalis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
RUP,Ronce pubescente,Rubus pubescens,LATIFOLIÉS (STRATE 21)
RUX,"Oseilles, rumex",Rumex sp.,LATIFOLIÉS (STRATE 21)
RYT,Hypne triangulaire,Rythidiadelphus triquetrus,MOUSSES (STRATE 11)
SAB,Sapin baumier,Abies balsamea,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
SAC,Sureau du Canada,Sambucus canadensis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
SAG,Sanguinaire du Canada,Sanguinaria canadensis,LATIFOLIÉS (STRATE 21)
SAL,Saules,Salix sp.,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
SAN,Sanguisorbe du Canada,Sanguisorba canadensis,LATIFOLIÉS (STRATE 21)
SAP,Sureau pubescent,Sambucus pubens,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
SAR,Sarracénie pourpre,Sarracenia purpurea,LATIFOLIÉS (STRATE 21)
SCE,Scutellaire à feuilles d'épilobe,Scutellaria epilobiifolia,LATIFOLIÉS (STRATE 21)
SCL,Scutellaire latériflore,Scutellaria lateriflora,LATIFOLIÉS (STRATE 21)
SEN,Séneçons,Senecio sp.,LATIFOLIÉS (STRATE 21)
