code,francais,latin,strate
DRP,Dryoptéride du hêtre,Dryopteris phegopteris,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
DRS,Dryoptéride spinuleuse,Dryopteris spinulosa,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
EMN,Camarine noire,Empetrum nigrum,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
EPA,Épilobe à feuilles étroites,Epilobium angustifolium,LATIFOLIÉS (STRATE 21)
EPB,Épinette blanche,Picea glauca,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
EPH,Épipactis petit-hellébore,Epipactis helleborine,LATIFOLIÉS (STRATE 21)
EPI,Épigée rampante,Epigaea repens,LATIFOLIÉS (STRATE 21)
EPN,Épinette noire,Picea mariana,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
EPO,Épinette de Norvège,Picea abies,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
EPP,Épilobe palustre,Epilobium palustre,LATIFOLIÉS (STRATE 21)
EPR,Épinette rouge,Picea rubens,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
EPV,Épifage de Virginie,Epifagus virginiana,LATIFOLIÉS (STRATE 21)
EQS,Prêles,Equisetum sp.,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
EQY,Prêle des bois,Equisetum sylvaticum,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
ERA,Érable argenté,Acer saccharinum,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
ERE,Érable à épis,Acer spicatum,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
ERG,Érable à Giguère (Érable négondo),Acer negundo,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
ERI,Linaigrettes,Eriophorum sp.,GRAMINOIDES (STRATE 23)
ERN,Érable noir,Acer nigrum,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
ERP,Érable de Pennsylvanie,Acer pensylvanicum,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
ERR,Érable rouge,Acer rubrum,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
ERS,Érable à sucre,Acer saccharum,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
ERY,Érythrone d'Amérique,Erythronium americanum,LATIFOLIÉS (STRATE 21)
EUM,Eupatoire maculée,Eupatorium maculatum,LATIFOLIÉS (STRATE 21)
EUR,Eupatoire rugueuse,Eupatorium rugosum,LATIFOLIÉS (STRATE 21)
FRA,Frêne d'Amérique,Fraxinus americana,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
FRG,Fraisiers,Fragaria sp.,LATIFOLIÉS (STRATE 21)
FRN,Frêne noir,Fraxinus nigra,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
FRP,Frêne de Pennsylvanie,Fraxinus pensylvanica,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
GAA,Gaillet piquant,Galium asprellum,LATIFOLIÉS (STRATE 21)
GAB,Gaylussaccia à fruits bacciformes,Gaylussacia baccata,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
GAL,Gaillet du Labrador,Galium labradoricum,LATIFOLIÉS (STRATE 21)
GAP,Gaulthérie couchée,Gaultheria procumbens,LATIFOLIÉS (STRATE 21)
GAS,Gaillets,Galium sp.,LATIFOLIÉS (STRATE 21)
GAT,Gaillet à trois fleurs,Galium triflorum,LATIFOLIÉS (STRATE 21)
GEM,Benoîte à grandes feuilles,Geum macrophyllum,LATIFOLIÉS (STRATE 21)
GER,Benoîte des ruisseaux,Geum rivale,LATIFOLIÉS (STRATE 21)
GES,Géraniums,Géranium sp.,LATIFOLIÉS (STRATE 21)
GOR,Goodyérie rampante,Goodyera repens,LATIFOLIÉS (STRATE 21)
GOS,Goodyéries,Goodyera sp.,LATIFOLIÉS (STRATE 21)
GRS,"Pâturins, mil, chiendent",Graminées sp.,GRAMINOIDES (STRATE 23)
HAO,Habénaire à feuilles orbiculaires,Habenaria orbiculata,LATIFOLIÉS (STRATE 21)
HAS,Habénaires,Habenaria sp.,LATIFOLIÉS (STRATE 21)
HEA,Hépatique acutilobée,Hepatica acutiloba,LATIFOLIÉS (STRATE 21)
HEG,Hêtre à grandes feuilles,Fagus grandifolia,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
HEM,Berce très grande,Heracleum maximum,LATIFOLIÉS (STRATE 21)
HIS,Épervières,Hieracium sp.,LATIFOLIÉS (STRATE 21)
HYS,Hypne éclatante,Hylocomium splendens,MOUSSES (STRATE 11)
ILV,Houx verticillé,Ilex verticillata,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
IMC,Impatiente du Cap,Impatiens capensis,LATIFOLIÉS (STRATE 21)
IMS,Impatientes,Impatiens sp.,LATIFOLIÉS (STRATE 21)
IRS,Iris à pétales aigus,Iris setosa,LATIFOLIÉS (STRATE 21)
IRV,Iris versicolore,Iris versicolor,LATIFOLIÉS (STRATE 21)
JUC,Genévrier commun,Juniperus communis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
JUH,Genévrier horizontal,Juniperus horizontalis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
JUN,Genévriers,Juniperus sp.,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
JUV,Genévrier de Virginie,Juniperus virginiana,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
KAA,Kalmia à feuilles étroites,Kalmia angustifolia,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
KAP,Kalmia à feuilles d'Andromède,Kalmia polifolia,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
LAC,Laportéa du Canada,Laportea canadensis,LATIFOLIÉS (STRATE 21)
LEG,Lédon du Groenland,Ledum groenlandicum,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
LIB,Linnée boréale,Linnaea borealis,LATIFOLIÉS (STRATE 21)
LIC,Listère cordée,Listera cordata,LATIFOLIÉS (STRATE 21)
LOH,Chèvrefeuille hirsute,Lonicera hirsuta,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
LON,Chèvrefeuille du Canada,Lonicera canadensis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
LOV,Chèvrefeuille velu,Lonicera villosa,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
LYA,Lycopode innovant,Lycopodium annotinum,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
LYC,Lycopode claviforme,Lycopodium clavatum,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
LYF,Lycopode en éventail,Lycopodium flabelliforme,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
LYL,Lycopode brillant,Lycopodium lucidulum,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
LYM,Lycope d'Amérique,Lycopus americanus,LATIFOLIÉS (STRATE 21)
LYO,Lycopode foncé,Lycopodium obscurum,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
LYP,Lycopode aplati,Lycopodium complanatum,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
LYT,Lycopode à trois épis,Lycopodium tristachyum,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
LYU,Lycope uniflore,Lycopus uniflorus,LATIFOLIÉS (STRATE 21)
MAC,Maïanthème du Canada,Maianthemum canadense,LATIFOLIÉS (STRATE 21)
MAS,Pommiers,Malus sp.,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
