"RDA1","RDA2"
0.00731391159629682,-0.0228217249706074
0.0353126206501409,-0.0838311183277008
0.0258561817416654,-0.147769835893876
0.0792646955601909,-0.373462678490051
0.0678150042466912,0.0193053945754021
-0.0078339462092218,0.0228712945023469
0.0106846467715942,0.0395110516900266
-0.00495756871684514,0.096917342547329
0.609671232536706,0.188433020782759
-0.328980568984438,-0.77484456526702
0.215966014755894,0.164325828783719
-0.192583401849385,0.587340172371598
-0.245484714748105,0.431589909352245
-0.366162566725675,0.662379421888223
-0.0832059161825078,-0.0906693117360694
-0.177860435294571,0.301873366416553
-0.0983584231893433,0.0169396497754909
0.0695374207331015,0.0773289034224716
0.124925585079442,0.0906617060486053
-0.194012868764477,0.587420273157858
0.0610367817221753,-0.127763406188428
-0.0451636692176384,-0.0735765397565207
-0.0195106820701488,-0.085645150079843
0.268249446076381,-0.354489462572789
0.883514876700177,0.235023170744381
-0.263828074316993,-0.334777876317628
